States,x,y
Andhra Pradesh,-65,-154
Arunachal Pradesh,215,128
Assam,186,83
Bihar,51,68
Chhattisgarh,2,-12
Goa,-159,-140
Gujarat,-195,15
Haryana,-107,132
Himachal Pradesh,-88,187
Jharkhand,56,22
Karnataka,-119,-161
Kerala,-112,-248
Madhya Pradesh,-63,16
Maharashtra,-132,-52
Manipur,209,59
Meghalaya,151,68
Mizoram,195,26
Nagaland,218,85
Odisha,46,-33
Punjab,-117,164
Rajasthan,-152,90
Sikkim,107,102
Tamil Nadu,-75,-228
Telangana,-60,-97
Tripura,170,34
Uttarakhand,-58,154
Uttar Pradesh,-26,86
West Bengal,100,15